Id,Name,Surname,Division,Manager,Gender,Sexual_Orientation,LGBTQ,Indigenous,Ethnicity,Disability,Minority,Veteran,Date of Birth,Age,Preferred Name,Nationality,Hobbies,Pronouns,Mobile Number,Email,Aug_D_Q1,Aug_D_Q2,Aug_D_Q3,Aug_D_Q4,Aug_D_Q5,D_Negative,D_Neutral,D_Positive,Aug_E_Q1,Aug_E_Q2,Aug_E_Q3,Aug_E_Q4,Aug_E_Q5,E_Negative,E_Neutral,E_Positive,Aug_I_Q1,Aug_I_Q2,Aug_I_Q3,Aug_I_Q4,Aug_I_Q5,I_Negative,I_Neutral,I_Positive
20,Carina,Robertson,HR,No,Prefer not to say,Prefer not to say,Yes,Yes,White,No,Yes,No,1987-10-19,34,Carina,Brazilian,Travelling,They/them/theirs,692 380 3747,Carina.Robertson@mail.ca,-2,-2,0,-1,-2,4,1,0,1,-2,1,-2,-1,3,0,2,-2,1,0,-2,2,2,1,2
21,Henry,Ainsworth,Operations,No,Male,Heterosexual,No,No,White,No,No,No,1993-05-12,29,Henry,American,Music,He/him/his,214 787 9989,Henry.Ainsworth@mail.ca,0,-1,-2,2,1,2,1,2,0,2,2,2,1,0,1,4,-2,-2,1,0,0,2,2,1
22,Chester,Carson,IT,No,Male,Heterosexual,No,Yes,White,No,No,No,1982-01-30,40,Chester,Canadian,Crafting,He/him/his,493 511 7039,Chester.Carson@mail.ca,-1,-1,0,0,-2,3,2,0,1,1,1,1,2,0,0,5,-2,0,2,0,2,1,2,2
23,Ronald,Varley,Sales,No,Female,Bisexual,Prefer not to say,No,White,No,No,No,1969-12-21,52,Ronald,Canadian,Fishing,She/her/hers,931 603 5682,Ronald.Varley@mail.ca,-2,-1,-1,1,2,3,0,2,2,-2,-2,0,-1,3,1,1,1,0,-2,1,0,1,2,2
24,Chester,Foxley,IT,No,Male,Heterosexual,No,No,White,No,No,No,1979-02-09,43,Chester,Ukrainian,Cooking,He/him/his,793 897 8748,Chester.Foxley@mail.ca,1,0,2,1,1,0,1,4,2,2,2,-1,1,1,0,4,-1,-2,2,2,2,2,0,3
25,John,Underhill,Marketing,Yes,Prefer not to say,Heterosexual,No,No,Black,No,Yes,No,1995-11-20,26,John,Canadian,Travelling,Ze/hir/hirs,958 565 2880,John.Underhill@mail.ca,0,2,-1,-2,2,2,1,2,1,2,-1,2,-2,2,0,3,2,2,1,1,2,0,0,5
26,Oliver,Page,Sales,No,Male,Homosexual,Yes,No,White,No,No,No,1991-10-31,30,Oliver,Indian,Video Games,He/him/his,826 118 8037,Oliver.Page@mail.ca,-1,-2,1,2,-1,3,0,2,0,1,-1,1,1,1,1,3,2,2,1,2,1,0,0,5
27,Rosa,Hunt,HR,No,Male,Prefer not to say,Yes,No,White,No,Prefer not to say,No,1993-03-11,29,Rosa,Mongolian,Sports,He/him/his,993 386 8408,Rosa.Hunt@mail.ca,1,0,1,0,-2,1,2,2,-2,0,2,1,2,1,1,3,0,0,1,0,0,0,4,1
28,Fiona,Willis,Sales,No,Female,Heterosexual,No,No,White,Yes,No,No,1979-02-22,43,Fiona,Malaysian,Sports,She/her/hers,446 760 5498,Fiona.Willis@mail.ca,-2,1,0,1,2,1,1,3,-1,2,1,0,2,1,1,3,0,1,2,-2,0,1,2,2
29,Evelynn,Maxwell,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1985-11-14,36,Evelynn,American,Sports,He/him/his,677 933 4579,Evelynn.Maxwell@mail.ca,-2,0,0,1,1,1,2,2,0,2,1,2,1,0,1,4,2,1,1,2,1,0,0,5
30,Nicholas,Cadman,Finance,No,Male,Heterosexual,No,No,White,Yes,No,No,1985-08-19,37,Nicholas,Chinese,Travelling,He/him/his,565 775 1146,Nicholas.Cadman@mail.ca,0,-2,-1,1,2,2,1,2,0,2,-2,1,0,1,2,2,-1,1,1,1,2,1,0,4
31,Eduardo,Holmes,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1987-09-30,34,Eduardo,Canadian,Crafting,He/him/his,303 248 3841,Eduardo.Holmes@mail.ca,1,1,2,2,2,0,0,5,-1,2,1,2,1,1,0,4,-2,2,2,0,1,1,1,3
32,Marvin,Allcott,IT,No,Female,Heterosexual,No,No,White,Yes,No,No,1995-02-04,27,Marvin,Canadian,Music,She/her/hers,290 815 7299,Marvin.Allcott@mail.ca,-2,2,2,1,1,1,0,4,2,2,2,-1,0,1,1,3,1,2,1,2,2,0,0,5
33,Domenic,Redfern,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1987-04-13,35,Domenic,Indian,Cooking,He/him/his,522 397 4848,Domenic.Redfern@mail.ca,2,2,-1,2,2,1,0,4,0,1,2,1,1,0,1,4,0,2,1,-2,1,1,1,3
34,Lindsay,Michael,IT,No,Male,Heterosexual,No,No,White,No,Yes,No,1996-05-10,26,Lindsay,Canadian,Sports,He/him/his,784 801 7206,Lindsay.Michael@mail.ca,2,-1,2,1,-1,2,0,3,1,1,2,0,2,0,1,4,1,1,2,2,0,0,1,4
35,Oliver,Yang,Finance,Yes,Female,Homosexual,Yes,No,Middle Eastern,No,No,No,1994-02-11,28,Oliver,Canadian,Sports,She/her/hers,666 740 8589,Oliver.Yang@mail.ca,-2,-1,-2,1,1,3,0,2,-1,0,-2,-2,-2,4,1,0,1,0,0,2,0,0,3,2
36,Eduardo,Roberts,IT,No,Male,Heterosexual,No,No,White,Prefer not to say,No,No,1986-12-14,35,Eduardo,Canadian,Cooking,He/him/his,931 305 3573,Eduardo.Roberts@mail.ca,-1,-1,-2,1,2,3,0,2,-1,2,-2,1,2,2,0,3,1,1,0,1,-2,1,1,3
37,Carissa,King,IT,No,Transgender,Prefer not to say,Yes,No,Other,No,Yes,No,1985-01-29,37,Carissa,Canadian,Music,E/em/eirs,689 122 2638,Carissa.King@mail.ca,-2,2,2,1,0,1,1,3,-1,-2,0,-1,0,3,2,0,-1,-2,0,-2,2,3,1,1
38,Jane,Boyle,Marketing,No,Male,Heterosexual,No,No,White,Yes,Yes,No,1973-07-22,49,Jane,Korean,Cooking,He/him/his,936 910 6940,Jane.Boyle@mail.ca,1,-1,1,0,-2,2,1,2,1,-2,0,1,0,1,2,2,-1,1,1,-1,2,2,0,3
39,Jasmine,Waterhouse,Marketing,No,Male,Heterosexual,No,Yes,White,No,No,No,1992-02-27,30,Jasmine,Canadian,Video Games,He/him/his,918 265 4724,Jasmine.Waterhouse@mail.ca,-2,0,0,1,1,1,2,2,1,1,1,2,1,0,0,5,0,1,1,-2,1,1,1,3
40,Logan,Ingham,Marketing,No,Male,Heterosexual,No,No,White,Yes,Yes,No,1990-11-30,31,Logan,Polish,Crafting,He/him/his,424 969 6428,Logan.Ingham@mail.ca,0,0,-2,1,1,1,2,2,-2,2,2,1,2,1,0,4,0,-1,-1,-1,-2,4,1,0
41,Julianna,Rixon,IT,No,Female,Heterosexual,No,No,White,Yes,No,No,1987-11-16,34,Julianna,Canadian,Travelling,She/her/hers,318 853 6881,Julianna.Rixon@mail.ca,-2,0,-1,0,-2,3,2,0,0,-2,-2,-1,0,3,2,0,-1,2,2,-1,1,2,0,3
42,Emery,Booth,RD,No,Female,Prefer not to say,Yes,No,Asian,No,Yes,No,1987-10-25,34,Emery,Canadian,Music,She/her/hers,508 386 6867,Emery.Booth@mail.ca,1,-1,1,1,-1,2,0,3,-1,0,2,0,0,1,3,1,2,-2,-2,2,-1,3,0,2
43,Gabriel,Ellery,Finance,No,Female,Heterosexual,No,No,Asian,No,No,No,1992-04-12,30,Gabriel,Canadian,Sports,She/her/hers,458 989 6641,Gabriel.Ellery@mail.ca,2,-2,2,1,2,1,0,4,1,1,1,-2,2,1,0,4,2,1,1,2,1,0,0,5
44,Hannah,Goldsmith,Finance,No,Male,Heterosexual,No,No,White,No,No,No,1992-01-23,30,Hannah,Indian,Music,He/him/his,986 605 6457,Hannah.Goldsmith@mail.ca,-1,-2,0,-2,-1,4,1,0,-2,1,1,-1,2,2,0,3,-1,2,-1,-2,2,3,0,2
45,Domenic,Tyrrell,Marketing,No,Male,Heterosexual,No,No,White,No,No,No,1968-08-27,54,Domenic,English,Fishing,He/him/his,862 127 9550,Domenic.Tyrrell@mail.ca,0,-2,0,1,-1,2,2,1,2,-1,2,-1,0,2,1,2,-1,1,2,-1,2,2,0,3
46,Nick,Jeffery,HR,No,Male,Heterosexual,No,No,White,No,No,Prefer not to say,1981-03-17,41,Nick,Canadian,Travelling,He/him/his,689 972 2225,Nick.Jeffery@mail.ca,-2,-1,-2,-1,0,4,1,0,2,2,2,-1,1,1,0,4,-2,2,0,-1,1,2,1,2
47,Chuck,Heaton,Sales,No,Male,Heterosexual,No,No,Asian,No,No,No,1988-08-01,34,Chuck,Canadian,Reading,He/him/his,860 197 3628,Chuck.Heaton@mail.ca,0,0,-2,2,1,1,2,2,2,1,1,1,1,0,0,5,-1,1,2,-2,2,2,0,3
48,Doug,Clifford,IT,No,Male,Prefer not to say,Yes,No,Black,No,No,No,1979-02-07,43,Doug,Greek,Sports,He/him/his,837 237 4683,Doug.Clifford@mail.ca,1,-2,-1,2,1,2,0,3,1,1,2,1,1,0,0,5,-2,1,2,0,2,1,1,3
49,Ramon,Allington,Sales,No,Male,Heterosexual,No,No,Black,No,Yes,No,1977-03-06,45,Ramon,Indian,Fishing,He/him/his,173 240 9426,Ramon.Allington@mail.ca,0,-2,-2,1,2,2,1,2,-1,1,2,1,-2,2,0,3,-1,0,-2,2,-1,3,1,1
50,Ron,Kennedy,Marketing,No,Male,Heterosexual,No,No,White,No,No,No,1995-04-30,27,Ron,Canadian,Travelling,He/him/his,214 815 1009,Ron.Kennedy@mail.ca,-1,-2,0,0,-2,3,2,0,0,2,-1,1,2,1,1,3,-2,1,1,-2,1,2,0,3
51,Domenic,Potts,IT,No,Male,Heterosexual,No,No,White,No,No,No,1966-05-16,56,Domenic,Indian,Music,He/him/his,186 143 3215,Domenic.Potts@mail.ca,0,0,-1,2,1,1,2,2,1,-2,2,-1,-2,3,0,2,2,1,2,2,-1,1,0,4
52,Hadley,Farrell,Finance,No,Female,Heterosexual,No,No,White,Yes,Yes,No,1975-07-03,47,Hadley,Norwegian,Crafting,She/her/hers,758 851 9338,Hadley.Farrell@mail.ca,1,0,-2,2,2,1,1,3,1,1,-2,0,-2,2,1,2,0,1,1,-2,2,1,1,3
53,Audrey,Bolton,Marketing,No,Female,Heterosexual,No,No,White,No,No,No,1980-02-08,42,Audrey,Greek,Music,She/her/hers,867 758 4133,Audrey.Bolton@mail.ca,-2,-1,-1,2,2,3,0,2,-2,-1,2,0,-1,3,1,1,-1,1,1,-1,1,2,0,3
54,Tara,Dallas,Sales,No,Male,Heterosexual,No,No,Asian,No,Yes,No,1982-03-01,40,Tara,Canadian,Music,He/him/his,128 357 8106,Tara.Dallas@mail.ca,-2,2,0,2,1,1,1,3,-1,2,2,1,1,1,0,4,-1,1,1,-2,1,2,0,3
55,Mason,Farrant,HR,No,Male,Prefer not to say,Yes,No,Asian,No,No,No,1988-01-19,34,Mason,Canadian,Sports,He/him/his,304 153 2163,Mason.Farrant@mail.ca,2,1,1,2,-2,1,0,4,0,2,2,-1,2,1,1,3,0,2,2,-2,1,1,1,3
56,Percy,Farrell,Operations,No,Male,Heterosexual,No,No,Asian,Yes,No,No,1972-07-18,50,Percy,Australian,Sports,He/him/his,348 830 7834,Percy.Farrell@mail.ca,-2,0,0,1,1,1,2,2,-2,2,2,2,1,1,0,4,-2,1,1,-1,2,2,0,3
57,Liam,Santos,Sales,No,Male,Heterosexual,No,No,Black,No,No,No,1966-06-29,56,Liam,Indian,Video Games,He/him/his,544 557 9964,Liam.Santos@mail.ca,-2,-1,-2,-2,-2,5,0,0,-1,2,-2,1,1,2,0,3,-2,2,1,0,1,1,1,3
58,Joseph,Gosling,Finance,No,Male,Heterosexual,No,No,White,No,No,No,1992-04-25,30,Joseph,Chinese,Reading,He/him/his,545 741 7764,Joseph.Gosling@mail.ca,2,1,1,-1,-1,2,0,3,-2,2,1,0,1,1,1,3,0,1,0,0,1,0,3,2
59,Phoebe,Knight,Marketing,No,Male,Heterosexual,No,No,White,No,No,No,1986-10-07,35,Phoebe,Canadian,Reading,He/him/his,315 288 6360,Phoebe.Knight@mail.ca,-1,2,-2,1,2,2,0,3,0,1,0,1,1,0,2,3,1,1,2,1,2,0,0,5
60,Jackeline,Phillips,IT,No,Male,Heterosexual,No,No,White,No,Yes,No,1988-04-04,34,Jackeline,American,Music,He/him/his,962 870 5492,Jackeline.Phillips@mail.ca,-2,1,-1,2,-2,3,0,2,-2,2,2,1,1,1,0,4,-1,1,2,-2,0,2,1,2
61,John,Stone,Sales,No,Male,Heterosexual,No,No,White,Yes,No,No,1982-12-19,39,John,Canadian,Video Games,He/him/his,728 889 8402,John.Stone@mail.ca,-2,-2,1,1,-2,3,0,2,-2,1,2,1,0,1,1,3,-2,-1,0,0,-1,3,2,0
62,Sienna,Edwards,Marketing,No,Female,Heterosexual,No,No,White,No,No,No,1996-11-08,25,Sienna,Canadian,Sports,She/her/hers,486 323 9314,Sienna.Edwards@mail.ca,0,1,-2,1,1,1,1,3,0,1,1,-1,2,1,1,3,2,0,0,-1,-1,2,2,1
63,Marilyn,Patel,Sales,No,Female,Heterosexual,No,No,Middle Eastern,No,Yes,Yes,1964-07-19,58,Marilyn,Afghan,Cooking,She/her/hers,390 849 6622,Marilyn.Patel@mail.ca,1,0,1,1,1,0,1,4,2,2,1,-2,1,1,0,4,-1,1,2,2,2,1,0,4
64,Taylor,Mitchell,HR,No,Female,Heterosexual,No,No,White,No,No,No,1995-10-03,26,Taylor,Indian,Travelling,She/her/hers,228 219 7919,Taylor.Mitchell@mail.ca,1,1,1,2,2,0,0,5,0,2,-2,-1,1,2,1,2,0,1,1,0,2,0,2,3
65,Mark,Baker,Finance,No,Male,Heterosexual,No,No,Asian,No,Yes,No,1965-01-04,57,Mark,Canadian,Video Games,He/him/his,772 605 8807,Mark.Baker@mail.ca,0,-2,-1,1,2,2,1,2,-2,2,1,1,2,1,0,4,-1,-1,0,-2,-1,4,1,0
66,Hayden,Wigley,IT,No,Female,Heterosexual,No,No,White,No,No,Yes,1986-08-29,36,Hayden,Indian,Sports,She/her/hers,172 570 3847,Hayden.Wigley@mail.ca,2,-2,1,2,2,1,0,4,-2,1,1,2,1,1,0,4,0,1,1,0,2,0,2,3
67,Kurt,Addis,IT,No,Prefer not to say,Heterosexual,No,Yes,White,No,Yes,No,1980-09-07,42,Kurt,Icelandic,Travelling,They/them/theirs,543 666 7514,Kurt.Addis@mail.ca,0,-2,-2,2,-2,3,1,1,2,1,2,0,1,0,1,4,2,2,0,1,1,0,1,4
68,Candice,Graham,HR,No,Male,Heterosexual,No,No,Latin,Yes,No,No,1979-03-27,43,Candice,American,Music,He/him/his,864 755 1667,Candice.Graham@mail.ca,2,-2,2,0,-2,2,1,2,1,1,-2,2,0,1,1,3,2,2,1,2,0,0,1,4
69,Chelsea,Wright,IT,No,Female,Heterosexual,No,No,Prefer not to say,No,No,No,1957-03-13,65,Chelsea,Canadian,Sports,She/her/hers,955 837 6502,Chelsea.Wright@mail.ca,0,1,1,2,1,0,1,4,0,2,2,0,1,0,2,3,1,2,1,2,1,0,0,5
70,Agnes,Irwin,Operations,No,Female,Heterosexual,No,No,Latin,No,No,No,1995-05-31,27,Agnes,American,Cooking,She/her/hers,215 228 4665,Agnes.Irwin@mail.ca,-2,-1,0,1,1,2,1,2,0,2,1,0,2,0,2,3,-2,1,2,0,2,1,1,3
71,Josh,Price,IT,No,Female,Heterosexual,No,No,White,No,No,No,1980-07-02,42,Josh,Canadian,Sports,She/her/hers,641 905 5732,Josh.Price@mail.ca,2,1,2,1,1,0,0,5,-1,1,1,0,1,1,1,3,-2,2,-2,0,2,2,1,2
72,Barney,Spencer,Operations,No,Female,Heterosexual,No,No,White,No,No,No,1984-08-23,38,Barney,Canadian,Sports,She/her/hers,642 556 5569,Barney.Spencer@mail.ca,-1,-1,1,2,1,2,0,3,-1,2,1,-2,1,2,0,3,-2,1,-1,1,-2,3,0,2
73,Aiden,Yarwood,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1996-02-03,26,Aiden,Costa Rican,Cooking,He/him/his,662 628 7643,Aiden.Yarwood@mail.ca,1,0,2,2,0,0,2,3,0,1,1,1,1,0,1,4,-2,2,1,-2,2,2,0,3
74,Noah,Wilkinson,HR,No,Female,Heterosexual,No,No,White,Yes,No,No,1992-06-28,30,Noah,Canadian,Sports,She/her/hers,952 847 8976,Noah.Wilkinson@mail.ca,0,2,1,2,2,0,1,4,-1,-1,0,0,-1,3,2,0,0,2,2,-2,1,1,1,3
75,Clint,Ellison,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1987-02-20,35,Clint,Canadian,Reading,He/him/his,359 438 6928,Clint.Ellison@mail.ca,2,-2,2,1,2,1,0,4,-2,2,-2,2,0,2,1,2,2,2,2,0,2,0,1,4
76,Liam,Zaoui,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1995-06-19,27,Liam,Canadian,Cooking,He/him/his,263 509 6750,Liam.Zaoui@mail.ca,-1,-2,-2,2,1,3,0,2,0,-1,2,1,-2,2,1,2,2,2,0,2,2,0,1,4
77,Ellen,Simpson,Operations,No,Male,Heterosexual,No,No,White,No,No,No,1991-11-19,30,Ellen,Czech,Video Games,He/him/his,230 303 3364,Ellen.Simpson@mail.ca,-1,2,0,-1,-1,3,1,1,1,1,2,1,2,0,0,5,-2,-1,2,-2,-2,4,0,1
78,Kassandra,Coleman,Sales,No,Female,Prefer not to say,Yes,No,White,No,No,No,1979-09-30,43,Kassandra,Canadian,Reading,She/her/hers,848 754 6408,Kassandra.Coleman@mail.ca,-2,2,0,2,-2,2,1,2,2,1,1,1,1,0,0,5,1,2,-1,2,-2,2,0,3
79,Amelia,Murray,IT,No,Male,Heterosexual,Prefer not to say,No,White,No,No,No,1978-10-21,43,Amelia,Sri Lankan,Sports,He/him/his,352 810 2070,Amelia.Murray@mail.ca,1,-1,1,2,1,1,0,4,-1,-2,2,-1,1,3,0,2,-2,2,2,0,2,1,1,3
80,Bob,Evans,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1973-11-11,48,Bob,Canadian,Sports,He/him/his,191 738 3765,Bob.Evans@mail.ca,2,1,-2,1,-1,2,0,3,0,1,1,2,2,0,1,4,1,-1,-2,1,-2,3,0,2
81,Elijah,Fall,Finance,No,Other,Heterosexual,No,No,Asian,No,No,No,1977-03-05,45,Elijah,Canadian,Crafting,They/them/theirs,699 579 4052,Elijah.Fall@mail.ca,2,-1,1,-1,-2,3,0,2,-1,2,0,-1,0,2,2,1,2,1,1,1,2,0,0,5
82,Ruby,Blackwall,Sales,Yes,Male,Heterosexual,No,No,White,No,No,No,1988-10-30,33,Ruby,Fijian,Fishing,He/him/his,829 690 1748,Ruby.Blackwall@mail.ca,2,0,2,1,-2,1,1,3,0,1,2,1,1,0,1,4,-1,2,2,0,2,1,1,3
83,Erin,Watson,Sales,No,Female,Heterosexual,No,No,White,No,No,No,1987-03-17,35,Erin,Canadian,Video Games,She/her/hers,366 595 7218,Erin.Watson@mail.ca,-2,-1,-2,1,1,3,0,2,1,2,1,0,2,0,1,4,2,1,-1,-2,2,2,0,3
84,Sonya,Avery,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1991-05-04,31,Sonya,Canadian,Fishing,He/him/his,163 385 9920,Sonya.Avery@mail.ca,2,1,0,2,2,0,1,4,0,2,-2,2,1,1,1,3,0,-1,0,-1,0,2,3,0
85,Barry,Hood,Operations,No,Female,Heterosexual,No,No,White,No,No,No,1995-06-04,27,Barry,Canadian,Sports,She/her/hers,803 137 3040,Barry.Hood@mail.ca,-1,0,2,1,1,1,1,3,2,1,-2,-1,-2,3,0,2,2,2,1,1,1,0,0,5
86,Florence,Andrews,HR,No,Male,Heterosexual,No,No,White,No,No,No,1996-07-15,26,Florence,Indian,Reading,He/him/his,620 699 1072,Florence.Andrews@mail.ca,-1,2,0,-2,-2,3,1,1,2,0,2,-2,-2,2,1,2,-2,1,1,0,1,1,1,3
87,Karen,Amstead,Sales,No,Male,Heterosexual,No,No,White,Yes,Yes,No,1986-04-08,36,Karen,American,Crafting,He/him/his,700 323 2378,Karen.Amstead@mail.ca,1,0,1,1,1,0,1,4,2,2,-1,1,2,1,0,4,2,1,0,1,1,0,1,4
88,Ethan,Quinton,Sales,No,Male,Heterosexual,No,No,Asian,No,Yes,Prefer not to say,1980-06-03,42,Ethan,Indian,Music,He/him/his,876 655 4343,Ethan.Quinton@mail.ca,0,-2,-1,2,1,2,1,2,1,2,1,2,-1,1,0,4,2,1,1,1,-1,1,0,4
89,Enoch,Gilmore,Sales,No,Male,Heterosexual,No,No,White,No,No,No,1977-09-24,45,Enoch,Indian,Reading,He/him/his,691 140 8691,Enoch.Gilmore@mail.ca,-2,2,-2,2,1,2,0,3,1,1,1,1,1,0,0,5,1,1,-1,2,2,1,0,4
90,Amelia,Andrews,Operations,No,Male,Heterosexual,No,No,White,No,No,No,1984-07-10,38,Amelia,Polish,Video Games,He/him/his,364 514 9454,Amelia.Andrews@mail.ca,1,2,-2,2,2,1,0,4,0,1,2,-1,2,1,1,3,2,1,2,2,1,0,0,5
91,Lynn,Bishop,HR,No,Male,Heterosexual,No,No,Latin,No,Yes,No,1969-03-31,53,Lynn,Indian,Sports,He/him/his,837 614 5080,Lynn.Bishop@mail.ca,0,-2,0,1,1,1,2,2,-2,2,2,2,1,1,0,4,-1,1,2,1,1,1,0,4
